amount_reviews,critics_consensus,duration,image_urls,images,rating,release_date,tags,title
91,本片由金獎導演同時也是現今皮克斯的創意長彼特達克特執導，他可以說是皮克斯的創意指標，從玩具總動員系列到怪獸電力公司、天外奇蹟與腦筋急轉彎這些作品就可知道他說故事的功力，這次原創故事的《靈魂急轉彎》 更是會顛覆觀眾的想像。  《靈魂急轉彎》 故事想探討一個非常抽像的話題- 人的靈魂! 因為在我們來到這個世界前，都會在一個「關於你研討會」參加培訓，在這裡，靈魂會被賦予特徵、興趣和能力、以及基本的性格屬性，正是這一切，造就了你的樣子。  一但準備就緒，你的靈魂就畢業，隨後降臨到這個世界，開啟有意義的一生。但在故事主角喬賈德納的身上，卻出了差錯，他是天生的爵士鋼琴好手，卻一直不得志，只能在中學擔任樂團老師的工作，有一天，他獲得了千載難逢的演奏機會，還沒享受到成功的果實，就失足受傷陷入昏迷，一系列的陰錯陽差，喬來到了投胎先修班，被誤認為是啟發新靈魂的導師，並碰到了始終無法在投胎先修班畢業的靈魂22號，師徒二人想盡辦法要讓喬回到真實世界，這場特別的旅程，更讓喬重新審視人生的意義… ,片長：01時47分,,D:\Users\Administrator\django-react-app\backend\server\django_media\靈魂急轉彎.jpg,4.3,2020-12-25,劇情,靈魂急轉彎
55,她決定開始改變，讓原本不可能的好事逐一發生… 希薇亞有三個身分：她是訴訟律師，她是單親媽媽，也是為人女兒。  專注於工作的她，在法庭雖銳不可擋，但在年邁母親與年幼兒子面前，她的堅毅毫無用武之地…。母親雖勸她再婚，卻對她喜歡的男人挑剔再三，令她無所適從…。  希薇亞雖擁有家人滿滿的愛，但母親的喋喋不休、姊妹的意見紛歧，卻對她造成無比的壓力。就在她為一場貪瀆官司得焦頭爛額，被診斷罹患絕症的母親，卻頑固地不肯接受醫治，讓她第一次驚覺：母親的離去竟如此迫在眼前…。  在參與了母親人生的最後旅程，希薇亞終於領悟到母親對她的掛心。她重新審視習以為常的生活模式，決定開始改變，讓原本不可能的好事逐一發生：離開權謀爭鬥的職場，全心照顧最親愛的兒子，重新遇見一個愛她的好男人。而這一切的一切，都源於母親對她的關心與愛…。  【關於電影】  親情感人電影《總是有個人在愛你》（Litigante），是哥倫比亞新銳導演法蘭柯洛利（Franco Lolli）的第二部電影，獲選為坎城影展影評人周開幕片。該片拍攝靈感源於他與母親的一趟冰島之旅：就在出發前，他的母親被診斷罹癌，使他整趟旅行提心吊膽，深恐母親即將不久人世，於是將這段心境寫成劇本。為將該片真正獻給母親，法蘭柯洛利甚至成功說服了毫無表演經驗的她，出飾片中女主角律師希薇亞之母。該片成功展現了現代都會女子的多重角色與感情，不僅獲法國電影網站【Vodkaster】讚賞「充滿愛與力量」，法國【世界報】（Le Monde）更形容是「一幅精彩的女性肖像」。  《總是有個人在愛你》中文片名出自張愛玲小說【半生緣】金句，電影描繪一心擁有自己人生的都會女子，卻面對了職場、愛情與親情的多方衝擊。劇情敘述：希薇亞（卡洛琳娜薩林Carolina Sanín飾）是個頂尖律師、也是個單親媽媽。忙碌的她除照顧5歲兒子安東尼奧，更因和難搞的母親（蕾提莎葛梅茲Leticia Gómez 飾）水火不容，經常法庭、家庭兩頭燒。被診斷癌末的母親，不肯接受希薇亞的任何安排，甚至拒絕化療，讓她傷透腦筋。她在法庭上所向無敵，甚至力抗貪瀆風暴，但當她面對重病的母親，卻得收起剛毅、毫無招架之力…。電影將她的難為處境，刻畫得真摯動人，不僅連奪法國亞眠國際影展最佳影片、美國芝加哥國際影展最佳影片金雨果獎，更獲美國爛番茄電影網站100分的高評。  《總是有個人在愛你》一方面刻畫女律師面對的都會叢林法則，一方面聚焦於她跟年邁母親、年幼兒子的情感暗流。題材看似沉重，卻因劇情精彩、演出驚豔，全片既緊張又動人。尤其女主角卡洛琳娜薩林，和飾演母親的蕾提莎葛梅茲，母女對話有時充滿膽識，有時挾著情緒勒索，使全片綻現靈光，讓人目不暇給。兩人精彩且完美的詮釋，獲法國電影網站Allocine譽為「最不可思議的演出典範」。 ,片長：01時35分,,D:\Users\Administrator\django-react-app\backend\server\django_media\總是有個人在愛你.jpg,3.9,2020-12-18,,總是有個人在愛你
97,★馬修米勒繼《哈利本森：大攝影家》，再次揭開上流社會神秘面紗 ★ 再大的咖都被治的服服貼貼，紐約首席飯店的服務管理學 ★ 再現甘迺迪與夢露的風流情史，重回瑰麗酒店事發現場 ★ 上流社會的代名詞，跟隨名人們回憶首次入住的美妙時刻  「世界上沒有任何一個地方像家一樣，但瑰麗酒店，夠接近了。」─湯米李瓊斯  如果你是一名紐約客，你不可能沒聽過上東城的瑰麗酒店，走過近九十個年頭，瑰麗酒店向來是政商名流的紐約聚會首選，最豪華的派對永遠在這裡舉行，夜夜笙歌、紙醉金迷，醜聞八卦也隨之而生，從美國總統甘迺迪與瑪麗蓮夢露的地下情到巨星名模的嗑藥派對，瑰麗酒店不只是紐約上流社會的代名詞，更是一幢充滿祕密的巨大宮殿，這個神秘又危險的地方，至今仍是名人造訪紐約時入住的不二首選，究竟瑰麗酒店有何魅力讓名人們對其死心塌地，《哈利本森：大攝影家》導演馬修米勒透過採訪瑰麗酒店的頂級客戶伍迪艾倫、喬治克隆尼、娜歐蜜坎貝兒等，揭開瑰麗酒店的神秘面紗。 ,片長：01時32分,,D:\Users\Administrator\django-react-app\backend\server\django_media\瑰麗卡萊爾：浮華紐約.jpg,4.2,2020-12-24,,瑰麗卡萊爾浮華紐約
75,★橫掃英國奧斯卡BATFA四項大獎提名 ★金球獎最佳喜劇，最佳劇本提名 ★榮獲英國奧斯卡最佳男配角 ★全球媒體票選最佳聖誕電影 ★眾星雲集 影帝影后暖心飆戲  聖誕倒數中，大夥都開心迎接佳節到來，但他們的生活卻一點都不平靜。新上任的英國首相（休葛蘭 飾演），一邊要應付纏人的美國總統，一邊發現自己愛上了美麗助理；一位失戀的作家（柯林佛斯 飾演）前往南法療傷，卻在湖畔再度相信愛情；一名婚姻幸福美滿的妻子（艾瑪湯普遜 飾演）懷疑她的丈夫（艾倫瑞克曼 飾演）另結新歡；一名美麗新嫁娘（綺拉奈特莉 飾演）錯估了她對新郎麻吉的感情；一個情竇初開的少年試著吸引學校校花的注意；一名繼父（連恩尼遜 飾演）嘗試和他根本不瞭解的繼子交心；一名嚮往愛情的女孩想把握機會，鼓起勇氣向辦公室的暗戀對象表白；一個過氣搖滾樂明星，試著以不妥協的方式重返歌壇 . . . . 無論人生再怎麼困難，幸褔與奇蹟總是會出現！ ,片長：02時15分,,D:\Users\Administrator\django-react-app\backend\server\django_media\愛是您・愛是我.jpg,4.0,2020-12-24,喜劇,愛是您・愛是我
94,★ 《厄夢娃娃屋》《全面突襲》製片團隊挑戰驚嚇極限 ★ 《冰與火之歌：權力遊戲》「小狼女」梅西威廉斯驚悚主演 ★ 坐立難安的壓迫感宛如《暫時停止呼吸》，劇情反轉再反轉讓人無法喘息！ ★ 2020 巴黎怪奇影展 　　 幾個年輕人闖入一幢鄉間豪宅，打算將屋內裝有鉅款的保險櫃洗劫一空。然而情況卻在老夫婦屋主提前返家後豬羊變色，這群年輕人這才發現自己正逐漸步入一場超乎想像的惡夢…… ,片長：01時32分,,D:\Users\Administrator\django-react-app\backend\server\django_media\來者弒客.jpg,3.9,2020-12-24,懸疑/驚悚,來者弒客
70,家族生根於愛爾蘭的蘿絲瑪麗（愛蜜莉布朗飾）決心要擄獲鄰居安東尼（傑米道南 飾）的芳心。然而，安東尼似乎是遺傳到他們家族的某種魔咒，完全沒有注意到這位美麗的仰慕者。於此同時，安東尼的父親東尼（克里斯多夫華肯飾），計畫要將他的農場賣給住在紐約的富商外甥（喬漢姆 飾），多金又帥氣的紐約客突然吹皺這片愛爾蘭農郡的一池春水……。​  她生而為愛，他卻花了半輩子與愛靠近；注定的那一半，原來就在彼此眼前！​,片長：01時43分,,D:\Users\Administrator\django-react-app\backend\server\django_media\真愛鄰距離.jpg,3.3,2020-12-24,喜劇,真愛鄰距離
92,★ 越南票房冠軍 ★ 一夜情搞大肚子，尋爹大作戰即將展開！ ★ 只要有爸爸，萬事都不怕！ 　　 熱愛賭博的單親媽媽小芳以偷竊維生，她與七歲的女兒小安過著貧困卻歡樂的日子，某天，兩人遇見了擔任醫生的東森，而小芳竟發現東森是過去曾經一夜情的對象，同時也是小安的爸爸！然而，東森卻堅決否認小安是他的女兒，並且準備與相互有好感的女同事出國留學，為了實現小安的「尋爹夢」，母女倆決定擬出「滔天計畫」，試圖用各種方法把東森留在身邊！一場淚水與歡笑交織的尋爹大作戰即將展開！ ,片長：01時50分,,D:\Users\Administrator\django-react-app\backend\server\django_media\坑爹大作戰.jpg,4.2,2020-12-24,劇情,坑爹大作戰
92,"★多倫多影展特別放映 開幕片 ★釜山影展 ★國際女性主義偶像 海倫瑞蒂 ★擁有3首百萬美國冠軍曲✕ 40首經典暢銷經典名曲 ★擁有8張白金以及黃金專輯 ✕ 全球銷售1500萬張專輯與1千萬單曲 ★《新娘不是我》《慾望城市2》，I am woman經典女權神曲 ★《I am woman》啟發美國流行天后　凱蒂佩芮《聽我吼Roar》神曲 ★《我是女人》《我不知道如何愛他》創作音樂 原主唱人 海倫瑞蒂 ★一個手提箱和230美元來到紐約，她如何攀登世界排行名歌頂峰？ ★擁有3首進入美國〈告示牌百大單曲榜〉冠軍，及8張白金唱片專輯 ★擁有全球銷量超過1000萬張單曲 與 1500萬張專輯紀錄  電影講述一代天后海倫瑞蒂波瀾壯闊的人生！女權運動史上最偉大女演員海倫瑞蒂的傳記電影，由女星蒂達柯漢哈維詮釋，慕雲珠執導。  故事將描述1970年海倫瑞蒂籌備演唱會，她與經紀人老公、唱片公司的千絲萬縷，以及她過往演藝生涯的成功與痛苦。  1966年，海倫瑞蒂帶著她三歲的女兒，一個手提箱和口袋裡的230美元來到紐約。海倫被告知她已經贏得了一份唱片合約，但是唱片公司卻告訴她自己旗下已經有足夠的女藝人，她的希望破滅了，唱片公司建議她在紐約順勢旅遊，然後再回澳洲。  然而，海倫決定無論如何都要繼續留在紐約從事歌唱事業，由於沒有工作許可，她努力維持生計，並養活自己的女兒。她在紐約認識了傳奇的搖滾記者莉蓮，兩人很投緣立刻成為好友，成了最親的閨蜜，並激勵她創作和演唱具備代表性的歌曲「我是女人 I Am Woman」這首歌暴紅，成為第二波女權運動的主題歌，激發新一代女性為爭取變革而奮鬥。  她還遇到了年輕有抱負的專業經紀人傑夫沃爾德，他後來成為她的經紀人和丈夫。傑夫幫助她到達歌唱事業的顛峰，但他後來染上吸毒成癮的惡習，兩人關係逐漸惡化，海倫因此陷入聲譽受損的危機，由於她之前都依靠傑夫來管理自己的職業生涯，她後來被迫轉變，必須找到擁有自己事業和繼續追求夢想的力量。  海倫瑞蒂憑藉《I AM WOMAN》成為炙手可熱的巨星，她所演唱的名曲《I AM WOMAN》更被認為是影史上最經典的女權運動歌曲。電影呈現她是如何從澳洲到美國發展，並且替自己歌唱之路奮鬥的心路歷程，以及如何養大孩子，承擔家裡經濟，在歌唱生涯與經紀人丈夫所發生的糾葛故事。  可以從電影中了解她與丈夫的關係，以及跟唱片公司之間的角力，還有她跟「搖滾教母」莉蓮蘿森（Lillian Roxon）之間的相處也逐步揭露。究竟這位為了養活孩子而全力奮鬥的母親，甚至是受過傷卻仍然勇敢追愛的女性，該如何在親情、愛情與事業當中取得平衡？而她又將如何唱出膾炙人口的歌曲《I AM WOMAN》，感動千萬聽眾，甚至是影響後來的美國流行天后凱蒂佩芮呢？  本片透過重新詮釋海倫瑞蒂無數經典名曲，將一代巨星海倫瑞蒂美麗與哀愁，毫無保留的呈現在銀幕上，讓觀眾得以走進這位一代巨星波瀾壯闊的人生。  【關於電影】  國際女性主義偶像澳洲女星 海倫瑞蒂 的精采傳記片 影片聚焦上世紀七十年代澳洲知名女歌手海倫瑞蒂，片名出自瑞蒂演唱的同名歌曲，該歌曲曾被選為當時女權運動的主題曲。蒂達柯漢哈維飾演海倫瑞蒂，伊凡彼得斯飾瑞蒂的丈夫傑夫沃爾德，也是她的經紀人。  海倫瑞蒂（Helen Reddy）來自澳洲，她在70年代時可是名氣響叮噹的西洋歌手／演員／詞曲家，瑞蒂走的是Pop/Rock , Soft Rock , AC路線，清新恬靜是她的註冊商標擁有3首百萬美國冠軍曲，一連串Top 40 hits 以及8張白金／金專輯全球銷售1500萬張專輯與1千萬單曲在澳洲進軍美國的女歌手中，她的商業成績僅次於超級天后奧莉維亞紐頓強（Olivia Newton-John）兩人也是好友  其他陣容為《壁花女孩夢遊中》蒂達卡本哈維（Tilda Cobham-Hervey飾演海倫瑞蒂，《淑女鳥》丹妮爾麥唐諾（Danielle Macdonald）飾演被譽為搖滾之母的記者莉蓮蘿森（Lillian Roxon），為將海倫瑞蒂引介到美國市場的推手。  片名出自海倫瑞蒂當年所唱的女權運動代表歌曲《I Am Woman》。此曲影響了美國流行天后凱蒂佩芮（Katy Perry）神曲《Roar》，成為全新膾炙人口的女權運動流行音樂！歌詞「I am woman, hear me roar」（我是女人，聽到我的怒吼）是海倫瑞蒂（Helen Reddy）於1971年演唱的勵志口號，它鼓勵全美女性在解放運動中燒掉胸罩。  42年後，同樣的話鼓舞了凱蒂佩芮（Katy Perry）寫下了自己的主題神曲《Roar》，《Roar》的威力讓凱蒂佩芮獲得全美最受歡迎錄影帶，23.3億超狂點閱記錄，也傲視全球成為最多收看人次第11名的歌曲，《Roar》更因此成為風靡全世界的暢銷歌曲，甚至是2015年超級盃中場秀的表演曲，可見海倫瑞蒂影響凱蒂佩芮之深。  伊凡彼得斯 飾演的 傑夫沃德 是 海倫瑞蒂 的丈夫與經紀人，旗下帶領的藝人還有席維斯史特龍（Sylvester Stallone）、唐娜桑默（Donna Summer）與喬治卡林（George Carlin）等名星。據悉他有用藥問題，被視為是導致後來與海倫瑞蒂離婚、爭奪孩子監護權的主因。 ",片長：01時56分,,D:\Users\Administrator\django-react-app\backend\server\django_media\生為女人.jpg,3.8,2020-12-24,,生為女人
90,★ 《怪奇物語》諾亞施納普化身小小廚神大展廚藝 ★ 金獎導演費南多葛斯提安卓德進軍好萊塢首部力作 ★ 2019 日舞影展正式入選 ★ 2019 華盛頓猶太電影節觀眾票選獎 ★ 美食，將治癒一切、化解衝突！ 　　 11歲的小艾（諾亞施納普 飾）生長在一個猶太與穆斯林聯姻的美國移民家庭，複雜的身分背景，讓他的家中總是因為信仰、政治問題吵個不停，幸好，小艾還能藉由下廚來暫時遠離這一切，在某次美食節上，小艾遇見了來自巴西的廚師奇哥（索豪黑 飾），他決定向擅長做出融合各文化美食精髓的奇哥拜師學藝，在他即將到來的12歲生日派對上，做出一道道美味到讓人忘了爭吵的美味佳餚！ ,片長：01時26分,,D:\Users\Administrator\django-react-app\backend\server\django_media\一家之煮.jpg,4.1,2020-12-24,,一家之煮
95,★榮獲本屆金馬獎最佳女主角、男配角、原著劇本、造型設計四項大獎提名！ ★本屆金馬影展開幕電影！ ★金馬影后桂綸鎂、陽光型男楊祐寧破天荒首度攜手大銀幕CP！ ★金獎導演鍾孟宏攜金獎幕後團隊又一監製力作！ ★《陽光普照》編劇張耀升首執導演筒自編自導作品！ ★金馬攝影中島長雄掌鏡、金馬最佳電影歌曲盧律銘配樂！ ★今年故事最峰迴路轉、讓人又哭又笑的愛情荒謬喜劇！ ★本屆夏威夷國際影展、香港亞洲電影節與東京影展入選片！  一條腿的旅程 讓你明白愛情沒有什麼道理… 錢鈺盈(桂綸鎂飾)的丈夫鄭子漢(楊祐寧飾)在腿部截肢手術後不幸離世，錢鈺盈想拿回丈夫被截肢的腿，卻被醫院百般刁難、互踢皮球，於是一場異想天開的「奪腿計畫」就此展開！她纏著外科醫生(李李仁飾)要求幫忙，跑到一般人從未見過的醫院地下室，在一包包檢體中尋找丈夫的腿，甚至找上內勤人員監控醫院合作車輛的GPS，鬧到醫院院長(金士傑飾)都來關切…  而這段充滿黑色幽默的尋腿旅程中，也勾起錢鈺盈與鄭子漢從相識、相愛到相互虧欠的過往回憶。鄭子漢對美麗的國標舞者錢鈺盈一見鍾情，在照相館朋友約翰(張少懷飾)的牽線之下成為她的舞伴，兩人墜入愛河、步入婚姻，是人人稱羨的神仙眷侶。但鄭子漢一心想要賺大錢讓妻子過好日子，卻將兩人的感情逼入絕境，最終形同陌路，沒想到兩顆心再次靠近時卻是在醫院裡面臨生離死別的時候…  【關於電影】  《陽光普照》編劇張耀升首執導演筒　拍出桂綸鎂、楊祐寧最深情的告別 繼去年勇奪金馬獎最佳影片的《陽光普照》感動無數影迷，今年由鏡文學、華文創、甜蜜生活製作有限公司聯合出品，甜蜜生活製作有限公司製作、《陽光普照》導演鍾孟宏擔任監製及攝影、編劇張耀升首執劇情長片導演筒、讓金馬影后桂綸鎂與陽光型男楊祐寧首度化身大銀幕情侶檔的愛情荒謬喜劇《腿》，用一段充滿黑色幽默的尋腿之旅描繪愛情的模樣。導演張耀升表示：「這隻《腿》是愛情旋風腿，黑色不少，幽默常有，愛情很多，儘管桂綸鎂在一路的找腿過程非得潑辣凶悍難纏不可，但這卻是她最深情的告別。」每個人在人生旅程中會慢慢學會妥協，也會慢慢變得不純粹，最後常常都成了自己不喜歡的樣子，張耀升說：「只有某個人願意為你找回原來的樣子，而那個人一定不只很愛你，是非常非常非常愛你。」《腿》除了榮膺本屆金馬影展開幕影片，更榮獲本屆金馬獎最佳女主角、男配角、原著劇本、造型設計四項大獎提名，讓粉絲期待度爆表！ ,片長：01時55分,,D:\Users\Administrator\django-react-app\backend\server\django_media\腿.jpg,4.2,2020-12-24,劇情,腿
